Closest hit header,Kingdom,Phylum,Class,Order,Family,Genus,Simple names,Total reads,Percent of dataset,Vogue1A-01-003,Vogue1A-01-004,Vogue1A-01-005,Vogue1A-01-006,Vogue1A-01-007,Vogue1A-01-008,Vogue1A-01-009,Vogue1A-01-010,Vogue1A-01-011,Vogue1A-01-012,Vogue1A-01-013,Vogue1A-01-014,Vogue1A-01-015,Vogue1A-01-016,Vogue1A-01-017,Vogue1A-01-018,Vogue1A-01-019,Vogue1A-01-020,Vogue1A-01-021,Vogue1A-01-022,Vogue1A-01-023,Vogue1A-01-024,Vogue1A-01-025,Vogue1A-01-026,Vogue1A-01-027,Vogue1A-01-028,Vogue1A-01-029,Vogue1A-01-030,Vogue1A-01-031,Vogue1A-01-032,Vogue1A-01-033,Vogue1A-01-034,Vogue1A-01-035,Vogue1A-01-036,Vogue1A-01-037,Vogue1A-01-038,Vogue1A-01-039,Vogue1A-01-040,Vogue1A-01-041,Vogue1A-01-042,Vogue1A-01-043,Vogue1A-01-044,Vogue1A-01-045,Vogue1A-01-046,Vogue1A-01-047,Vogue1A-01-048,Vogue1A-01-049,Vogue1A-01-050,Vogue1A-01-051,Vogue1A-01-052,Vogue1A-01-053,Vogue1A-01-054,Vogue1A-01-055,Vogue1A-01-057,Vogue1A-01-059,Vogue1A-01-060,Vogue1A-01-061,Vogue1A-01-062,Vogue1A-01-063,Vogue1A-01-064,Vogue1A-01-065,Vogue1A-01-066,Vogue1A-01-067,Vogue1A-01-068,Vogue1A-01-069,Vogue1A-01-070,Vogue1A-01-071,Vogue1A-01-072,Vogue1A-01-073,Vogue1A-01-074,Vogue1A-01-075,Vogue1A-01-076,Vogue1A-01-077,Vogue1A-01-078,Vogue1A-01-079,Vogue1A-01-080,Vogue1A-01-081,Vogue1A-01-082,Vogue1A-01-083,Vogue1A-01-084,Vogue1A-01-085,Vogue1A-01-086,Vogue1A-01-087,Vogue1A-01-088,Vogue1A-01-089,Vogue1A-01-090,Vogue1A-01-091,Vogue1A-01-092,Vogue1A-01-093,Vogue1A-01-094,Vogue1A-01-095,Vogue1A-01-096,Vogue1A-01-097,Vogue1A-01-098,Vogue1A-01-099,Vogue1A-01-100,Vogue1A-01-101,Vogue1A-01-102,Vogue1A-01-103,Vogue1A-01-104,Vogue1A-01-105,Vogue1A-01-106,Vogue1A-01-107,Vogue1A-01-108,Vogue1A-01-109,Vogue1A-01-110,Vogue1A-01-111,Vogue1A-01-112,Vogue1A-01-113,Vogue1A-01-114,Vogue1A-01-115,Vogue1A-01-116,Vogue1A-01-117,Vogue1A-01-118,Vogue1A-01-119,Vogue1A-01-120,Vogue1A-01-121,Vogue1A-01-122,Vogue1A-01-123,Vogue1A-01-124,Vogue1A-01-125,Vogue1A-01-126,Vogue1A-01-127,Vogue1A-01-128,Vogue1A-01-129,Vogue1A-01-130,Vogue1A-01-131,Vogue1A-01-132,Vogue1A-01-133,Vogue1A-01-134,Vogue1A-01-135,Vogue1A-01-136,Vogue1A-01-137,Vogue1A-01-138,Vogue1A-01-139,Vogue1A-01-140,Vogue1A-01-141,Vogue1A-01-142,Vogue1A-01-143,Vogue1A-01-144,Vogue1A-01-145,Vogue1A-01-146,Vogue1A-01-147,Vogue1A-01-148,Vogue1A-01-149,Vogue1A-01-150,Vogue1A-01-151,Vogue1A-01-152,Vogue1A-01-154,Vogue1A-01-155,Vogue1A-01-156,Vogue1A-01-157,Vogue1A-01-158,Vogue1A-01-159,Vogue1A-01-160,Vogue1A-01-161,Vogue1A-01-162,Vogue1A-01-163,Vogue1A-01-164,Vogue1A-01-166,Vogue1A-01-167,Vogue1A-01-168,Vogue1A-01-169,Vogue1A-01-170,Vogue1A-01-171,Vogue1A-01-172,Vogue1A-01-173,Vogue1A-01-174,Vogue1A-01-175,Vogue1A-01-176,Vogue1A-01-177,Vogue1A-01-179,Vogue1A-01-180,Vogue1A-01-181,Vogue1A-01-183,Vogue1A-01-184,Vogue1A-01-185,Vogue1A-01-186,Vogue1A-01-187,Vogue1A-01-188,Vogue1A-01-189,Vogue1A-01-190,Vogue1A-01-191,Vogue1A-01-192,Vogue1A-01-193,Vogue1A-01-194,Vogue1A-01-195,Vogue1A-01-196,Vogue1A-01-197,Vogue1A-01-198,Vogue1A-01-199,Vogue1A-01-200,Vogue1A-01-201,Vogue1A-01-202,Vogue1A-01-203,Vogue1A-01-204,Vogue1A-01-205,Vogue1A-01-206,Vogue1A-01-207,Vogue1A-01-208,Vogue1A-01-209,Vogue1A-01-210,Vogue1A-01-211,Vogue1A-01-212,Vogue1A-01-213,Vogue1A-01-214,Vogue1A-01-215,Vogue1A-01-216,Vogue1A-01-217,Vogue1A-01-218,Vogue1A-01-219,Vogue1A-01-220,Vogue1A-01-221,Vogue1A-01-222,Vogue1A-01-223,Vogue1A-01-224,Vogue1A-01-225,Vogue1A-01-226,Vogue1A-01-227,Vogue1A-01-228,Vogue1A-01-229,Vogue1A-01-230,Vogue1A-01-231,Vogue1A-01-232,Vogue1A-01-233,Vogue1A-01-234,Vogue1A-01-235,Vogue1A-01-236,Vogue1A-01-237,Vogue1A-01-238,Vogue1A-01-239,Vogue1A-01-240,Vogue1A-01-241,Vogue1A-01-242,Vogue1A-01-243,Vogue1A-01-244,Vogue1A-01-245,Vogue1A-01-246,Vogue1A-01-247,Vogue1A-01-248,Vogue1A-01-249,Vogue1A-01-250,Vogue1A-01-251,Vogue1A-01-252,Vogue1A-01-253,Vogue1A-01-254,Vogue1A-01-255,Vogue1A-01-256,Vogue1A-01-257,Vogue1A-01-258,Vogue1A-01-259,Vogue1A-01-260,Vogue1A-01-261,Vogue1A-01-262,Vogue1A-01-263,Vogue1A-01-264,Vogue1A-01-265,Vogue1A-01-266,Vogue1A-01-267,Vogue1A-01-268,Vogue1A-01-269,Vogue1A-01-270,Vogue1A-01-271,Vogue1A-01-272,Vogue1A-01-273,Vogue1A-01-274,Vogue1A-01-275,Vogue1A-01-276,Vogue1A-01-277,Vogue1A-01-278,Vogue1A-01-279,Vogue1A-01-280,Vogue1A-01-281,Vogue1A-01-282,Vogue1A-01-283,Vogue1A-01-284,Vogue1A-01-285,Vogue1A-01-286,Vogue1A-01-287,Vogue1A-01-288,Vogue1A-01-289,Vogue1A-01-290,Vogue1A-01-291,Vogue1A-01-292,Vogue1A-01-293,Vogue1A-01-294,Vogue1A-01-295,Vogue1A-01-296,Vogue1A-01-297,Vogue1A-01-298,Vogue1A-01-300,Vogue1A-01-301,Vogue1A-01-302,Vogue1A-01-303,Vogue1A-01-304,Vogue1A-01-305,Vogue1A-01-306,Vogue1A-01-307,Vogue1A-01-308,Vogue1A-01-309,Vogue1A-01-310,Vogue1A-01-311,Vogue1A-01-312,Vogue1A-01-313,Vogue1A-01-314,Vogue1A-01-316,Vogue1A-01-317,Vogue1A-01-318,Vogue1A-01-319,Vogue1A-01-320
b6829 AY691268 Moorella thermoacetica ATCC 35608,Bacteria,Firmicutes,Clostridia,Thermoanaerobacteriales,Thermoanaerobacteriaceae,Moorella,Moorella thermoacetica,50,0.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,8,0,0,0,0,0,5,0,4,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
b19238 NZ_AFGF01000066 Acetonema longum APO-1 DSM 6540,Bacteria,Firmicutes,Negativicutes,Selenomonadales,Veillonellaceae,Acetonema,Acetonema longum,50,0.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
b14440 CP001678 Hirschia baltica ATCC 49814,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Hyphomonadaceae,Hirschia,Hirschia baltica,50,0.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
b18648 NZ_AEWU01000021 Haemophilus parainfluenzae ATCC 33392,Bacteria,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Haemophilus,Haemophilus parainfluenzae,50,0.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
b5833 AY691303 Streptococcus hyointestinalis ATCC 49169,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus hyointestinalis,49,0.002,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
v5146 3865 Streptococcus intestinalis ATCC 43492,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus intestinalis,49,0.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,8,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,27,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
b21386 AMQQ01000021 Rhizobium lupini HPC(L) ,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Rhizobium,Rhizobium lupini,49,0.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
b3420 AY123661 Pseudomonas fluorescens ATCC 13525,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas fluorescens,49,0.002,0,0,0,8,3,5,0,0,0,1,2,0,0,0,0,3,0,0,0,0,7,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
b19090 AP012204 Microlunatus phosphovorus NM-1 NBRC 101784,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Propionibacteriaceae,Microlunatus,Microlunatus phosphovorus,47,0.002,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
b17646 AB547577 Porphyromonas catoniae JCM 13863,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Porphyromonadaceae,Porphyromonas,Porphyromonas catoniae,47,0.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
b16434 NC_013791 Bacillus pseudofirmus OF4 ,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus pseudofirmus,47,0.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
b18218 NZ_AENN01000017 Eremococcus coleocola ACS-139-V-Col8 ,Bacteria,Firmicutes,Bacilli,Lactobacillales,Aerococcaceae,Eremococcus,Eremococcus coleocola,47,0.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,38,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
b18405 AB608730 Methylobacterium jeotgali LMG 23639,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Methylobacteriaceae,Methylobacterium,Methylobacterium jeotgali,47,0.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
b18411 CP002446 Pseudoxanthomonas suwonensis 11-1 ,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Pseudoxanthomonas,Pseudoxanthomonas suwonensis,47,0.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
